,place_id,name,address,rating,contact_number,coordinates_lat,coordinates_lng
266,ChIJixntypRU_DkR9Y0WWRtnxac,"Fire Service & Civil Defense Station, Bogura.","R9JG+HF2, Sherpur Rd, Bogra 5800, Bangladesh",4.5,01730-002497,24.8313904,89.3761414
267,ChIJK4ppzJRU_DkRnQKKOX94foc,Fire Station No Parking Area,"R9JG+GFW, Bogra, Bangladesh",N/A,051-63333,24.8313555,89.37618959999999
268,ChIJiVdwRsbz_DkRksVyZyytCvE,Fire Service and Civil Defense Station Kshetlal,"24GH+397, Khetlal, Bangladesh",5,01788-714747,25.0251595,89.1284195
270,ChIJrczxWOyT-zkR6hPq89Ins_g,Tanore Fire Station,"HHR9+PQR, Bangladesh",4.9,01730-002511,24.5918728,88.56940019999999
271,ChIJExYEhj41_DkRqevvqVf1bSo,Fire station tarash,"C9MH+GJV, Tarash - Bhuiyagati Rd, Tarash, Bangladesh",4.7,01901-022373,24.4338511,89.37906129999999
272,ChIJg-dtbMDt-zkRJi7RerKDsNA,"Fire Service And Civil Defence Station, Nowhata, Rajshahi","CJW7+66P, Bangladesh",4.7,01745-230908,24.4455922,88.6130682
274,ChIJsx9SvUSc-zkR-Eo6X8jBW1o,Fire Service and Civil Defense Station,"College Road, RHMM+5PX, Manda - Niamatpur Rd, Niamatpur, Bangladesh",4.8,01901-022267,24.832993,88.58436359999999
275,ChIJT1iQ-SsH_DkRCbe_JJcfXOw,"Fire Service And Civil Defense Station, Bagha, Rajshahi","7V44+XHJ, Puthia - Bagha Rd, Bangladesh",4.8,01308-443334,24.2574744,88.85638019999999
276,ChIJtfslKZ7z_DkR9zZWkh7j7U8,Fire Service And Civil Defence Station Kalai,"3585+W7F, Bangladesh",4.9,01312-553040,25.0673135,89.1581726
277,ChIJIxbRtXr5-zkROeZdguiTDS8,"Fire Service & Civil Defence, Sardah","8P4P+X32, Bangladesh",5,01733-201881,24.3073958,88.7351263
278,ChIJubb5r0nw-zkRbqdeORiA6vw,Chowddopai Fire Service and Civil Defence Station,"9M94+227, Rajshahi, Bangladesh",4.3,0721-750270,24.3675268,88.6550408
279,ChIJdSVttwd9-zkRHMOAqchpU6M,"Fire Service and Civil Defence Station, Patnitala, Naogaon","2QV4+FWV, R547, Nazipur, Bangladesh",4.5,01718-329337,25.0437467,88.7572916
280,ChIJ19U15BqS_DkRLEEc3ukFoms,Joypurhat Fire Station,"423G+Q6X, Jaipurhat Sugar Mill Road, Joypurhat 5900, Bangladesh",4.7,01730-002539,25.1044825,89.0256249
282,ChIJixPGd0-a_zkR-gtSPsCU6aw,Fire Service and Civil Defense Station,"VGC9+XMR, Satkhira Rd, Khulna, Bangladesh",4.2,01730-719750,22.8724982,89.5191339
283,ChIJte3XZt6P_zkRqpVO_HhK0JI,"Fire Service & Civil Defense Station, Tootpara","247 Khan Jahan Ali Rd, Khulna, Bangladesh",4.3,01730-009148,22.805045,89.5702551
284,ChIJHbznlivp_zkRCUpT8zTRsqw,Mollahat Fire service,"মোল্লাহাট, WRF4+CG7 er, Dhaka - Khulna Hwy, Pase, Bangladesh",5,01722-010155,22.9235345,89.8062956
285,ChIJC8KvJbDC_zkRZK-ORRwjA38,Gopalganj Fire Station,"2R7V+C54, Bedgram Fire Service Rd, Gopalganj, Bangladesh",4.1,01713-145084,23.0135124,89.8429644
286,ChIJKytlOTCR_zkRMeD3Fghm3yU,Rupsa Fire Service Office,"RHMH+HJ8, Bangladesh",5,01720-334464,22.8339156,89.57908259999999
287,ChIJLTVlK36a_zkRfC3SOlnkaw0,"Fire Service & Civil Defense Station, Khalishpur","VG5W+4WX, Khulna, Bangladesh",4.4,01730-719751,22.857857,89.5473497
289,ChIJ_dNKOy3k_zkR4NJDvtZa7PY,Tungipara Fire Station,"VVWQ+GF5, Z7704, Tungipara, Bangladesh",4.4,01754-607172,22.8962532,89.8887341
291,ChIJeX5afTiZ_zkR3tHlZqamzE4,"Fire Service & Civil Defence Station, Khanjahan Ali, Khulna","WFHP+R9M, Khulna City Bypass, Khulna, Bangladesh",3.4,01767-897013,22.9295961,89.4859163
292,ChIJK2toEQK6_zkRMY2852QRkMc,Fire Service and Civil Defense Station Lohagara,"5JMF+PPQ, Bangladesh",4.8,0481-62222,23.1843357,89.62436
293,ChIJh1ZpnKGa_zkRJbQVEIyFWzc,"Fire Service & Civil Defense Divisional Headquarters, Khulna","RGJW+F82, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",4.6,01733-062209,22.8311416,89.54575179999999
294,ChIJU3VEj2zz_zkRAGVImPkDmpk,"Fire Service and Civil Defence Station fakirhat, Bagerhat","QP97+9Q2, Fakirhat, Bangladesh",3,01780-491273,22.7680956,89.7136269
295,ChIJ3eroIJel_zkRSZgC9AMNXz0,Fire Service Narail,"5GC2+Q49, Jessore - Narail Road, Boakhali, Narail 7500, Bangladesh",5,01778-777355,23.1719122,89.5003573
296,ChIJB3R7UYz7_zkRbtEPXYCvvUM,"Fire Service & Civil Defence Station, Chitalmari","QVC7+XMX শ্যামপাড়া, Bangladesh",4.2,01706-114985,22.7724774,89.8642222
297,ChIJPYD1vw7g_zkRkkIgD5vZiIc,Fire Service & Civil Defence Station,"XXVP+GVM, Gaurnadi-Kotalipara-Gopalganj Hwy, Kotalipara, Bangladesh",5,01787-469161,22.9938266,89.9871701
298,ChIJq6wWPQ2g_zkRiz_bj-BBhCM,Bangladesh Fire Service and Civil Defense,"2CF4+2G6, Jessore-Khulna-Dhaka Hwy, Noapara, Bangladesh",4.5,01901-022828,23.0225284,89.4062575
299,ChIJl0hDJaCF_zkRnMyOC90An74,"Fire Service & Civil Defence Station, Batiaghata, Khulna","PGR7+3GC, Batiaghata, Bangladesh",N/A,01937-433535,22.7401984,89.5137732
300,ChIJC2OqWWT2_zkRX_Dffvh6s_Q,"Fire Service and Civil Defense Station, Bagerhat","MQ5P+PW9, Old Rupsa Bagerhat Rd, Bagerhat 9300, Bangladesh",4.6,01706-110535,22.6592772,89.7873504
301,ChIJi3jw2mvS_zkRHjERBzFexT0,Muksudpur Fire Service and Civil Defence,"8V88+FFG, Muksudpur, Bangladesh",3.6,01779-442155,23.3161979,89.86619689999999
322,ChIJSZTVL2p9VTcRQykCxV1jFQk,Fire Service & Civil Defence Station,"62F5+P9G, Unnamed Road, Bangladesh",4.9,01751-054040,23.2243224,90.00844459999999
323,ChIJjyiPdt_5_zkRZ3308BgTfJg,"Fire Service & Civil Defense Station, Kachua, Bagerhat","MV4R+727, Kachua, Bangladesh",5,01706-120982,22.655666,89.8900316
324,ChIJv2p2Cnr-_zkRtWwmB4-f6_8,Nazirpur Fire Station,"PX5C+6R2, Road, Nazirpur Sadar Union, Bangladesh",4,01730-009055,22.7080119,89.9720085
325,ChIJUxbxQcV9VTcRUrbViKI9aIY,Tekerhat Port Land Kam River Fire Station,"62MF+47G, Tekerhat, Bangladesh",5,01797-787907,23.2328216,90.0231934
326,ChIJU92QbfO1_zkRd316gnaL3Nc,"ফায়ার সার্ভিস ও সিভিল ডিফেন্স ষ্টোশন, বোয়ালমারী","9MJP+5WG, Z7001, Bangladesh",4.5,01733-527903,23.38044129999999,89.6873396
327,ChIJL5ZjK1sG_zkR_vEXU922PHY,Bagherpara Fire Station,"68GX+HCM, Bagharpara - Narikelbaria Road, Bagherpara, Bangladesh",4.5,01705-209686,23.2264713,89.3485584
328,ChIJ70evMKIpADoRLTsUJcJBc7A,ফায়ার সার্ভিস এন্ড সিভিল ডিফেন্স স্টেশন,"JF5W+64V, Dacope, Bangladesh",5,01306-672065,22.6081123,89.495284
329,ChIJhzMYb3AhADoRwu98WsPunVI,Fire Service & Civil Defence,"HM53+JGG, To Khulna Link Road, Rampal, Bangladesh",5,01901-022786,22.5590617,89.6538264
330,ChIJTWLaFbwS_zkRsGkPTgcOuIQ,Manirampur Fire Station,"269M+C8R, Jessore - Satkhira Rd, Manirampur, Bangladesh",4.8,01730-009176,23.0186228,89.2332538
331,ChIJxym4X3JN_jkRg4ioojRHFYU,The Life Saving Force,"CH4G+6RX, Dhoail, Bangladesh",2,01791-912286,23.4056151,89.5771011
332,ChIJj_Omxw1RVTcRkRe1eRBFk6I,Swarupkathi Fire Service Station,"P3QW+GWP, Swarupkathi, Bangladesh",5,01771-044410,22.7388301,90.0973186
334,ChIJA27MISTbUDcRGLQvjoHDQ0U,Fire Service,"3CC5+FW6 Kazir Point, Z2811, Sunamganj 3000, Bangladesh",4.7,01730-009142,25.0711551,91.40977149999999
335,ChIJ0QsM4ZB0UTcRtLMDMhhYs4Q,Fire Service and Civil Defence Station,"FQM8+29F, N207, Maulvi Bazar, Bangladesh",4.5,01901-023658,24.4825562,91.7659193
336,ChIJe1wGqsEYUTcRexj-OWQmVdY,Jagannathpur Fire Station,"QGJV+65C, Auskandi - Raniganj - Jagannathpur - Pagla Rd, Jagannathpur, Bangladesh",5,01721-168812,24.7805643,91.5429006
337,ChIJCRQcw_7YUDcRiGHC9K5J2c4,Dakkhin Sunamganj Fire Station,"WCR5+55G, Bangladesh",4.8,01901-023706,24.9404333,91.4079443
340,ChIJuQkIyuMFUTcRVqc_nCYY9Qo,Osmani Nagar Fire Station,"PQC2+6CF, Dhaka - Sylhet Hwy, ওসমানী নগর উপজেলা, Bangladesh",3.7,01726-439493,24.7205691,91.7510403
341,ChIJa-qmbcPkUDcRIhFO66oZ2-8,Chhatak Fire Station,"2MF6+95M, Z2802, Bangladesh",4.4,01730-009143,25.0234734,91.66043220000002
342,ChIJSTpPsdXVUDcRcHYgMj4oNEQ,"Fire Service and Civil Defence Station, Jamalganj","X6RP+593, Bangladesh",3.5,01901-023720,24.9903797,91.2359281
343,ChIJUV4bmwVIUTcRW0TQEqVyx3c,Baniachong Fire Service Baniachong Habigonj,"G945+WQ6, Baniachong, Bangladesh",3.2,01901-023680,24.5072848,91.3593776
344,ChIJA3ekl3LPUDcRE_kmj1FF4hg,Fire Service and Civil Defence Bishwambhar Pur,"37WX+VCV, Bishwamvarpur, Bangladesh",4,01311-700601,25.0972315,91.2985355
346,ChIJCRttrTJVUDcR_didQQqBXg4,Fire Service & Civil Defence,"VVV6+46F, VIP Rd, Sylhet 3100, Bangladesh",4.2,01730-336699,24.892812,91.8605608
347,ChIJX_-HLNOqUTcRaJKumsYRJrI,"Fire Service & Civil Defence Station, Sylhet","VVR7+6Q3, Sheikhghat - Kazirbazar Rd, Sylhet, Bangladesh",4.4,01730-336644,24.8905216,91.8644101
348,ChIJwWsFMkerUTcR5gmLzThSBWo,"Fire Service & Civil Defence Station, Gotatikor","VVFR+WVF, Sylhet, Bangladesh",5,01716-722118,24.8748209,91.89218679999999
349,ChIJEbeKLEerUTcRZW33dHVaGCI,Alampur Fire Station,"VVFR+VXF, Sylhet, Bangladesh",4.6,01730-336644,24.8746926,91.89242349999999
351,ChIJjWl8KT7ZVjcRDyM4bcmpsSY,Dharmapasha Fire Station,"W226+42G, Mymensingh - Sunamganj Rd, Dharmapasha, Bangladesh",4,01730-002381,24.9003249,91.01008569999999
352,ChIJ43DarOqlUTcRiMLJ5luGgVA,"Fire Service & Civil Defence Station (North of Tajmul Ali Square),Fenchuganj","MWHH+GQR, N208, Bangladesh",4.8,01766-770477,24.6788636,91.9293917
374,ChIJaTh6PfdEUTcRNiFn9vrP56E,"Fire Service And Civil Defense Station, Habiganj","9CC8+7G6, Fire Service Rd, Habiganj, Bangladesh",4.1,01730-082212,24.3706556,91.416254
375,ChIJwbgx7eJOVjcRLNAQxBD8eP4,"Fire Service and Civil Defence Station, Mymensingh","QC72+4GM, Mymensingh 2200, Bangladesh",4.4,01730-002353,24.7628374,90.40130099999999
376,ChIJI1UJrU5CVjcRsattVWvFjzQ,Trishal Fire Service,"H97X+VCQ, N3, Bangladesh",4.8,01730-879000,24.5647119,90.398595
378,ChIJSQQbEUD1VjcRnGOkGSnNEug,Nandail Fire Service And Civil Defence Station,"HJJP+5PX, Mymensingh - Bhairab Rd, Bangladesh",4.3,01758-731414,24.5804875,90.6368476
379,ChIJn7CnDSk_VjcR-5_9y6P1BEs,Fire Service & Civil Defence,"J767+HWH, Bangladesh",4,01730-002367,24.6114327,90.2648634
380,ChIJl-dmdBhhVjcRyMLXNghrGDM,Fire Service Station,"FG8V+6WQ, Gafargaon, Bangladesh",4,01730-002354,24.4655751,90.54487189999999
381,ChIJ1w9hmlU2VjcRvelfbqjHOD4,Muktagacha Fire Service and Civil Defence,"Q769+JM9, Mymensingh - Tangail Hwy, Bangladesh",4.3,01781-813140,24.7615469,90.269233
382,ChIJw6hm78NuVjcRnDD_cop9a1Q,Bhaluka Fire Service and Civil Defense,"C95X+WHX, Bhaluka 2240, Bangladesh",4.4,01730-002368,24.4098686,90.39899199999999
383,ChIJT3WodRhhVjcRsla93EZS6hE,Gafargaon Fire scervice Office,"9HJ9+WXF, Bangladesh",4,01730-002354,24.3823084,90.5699357
385,ChIJ3dcbUtLuVjcRHeDTpPKUwg8,Kendua Fire Station,"MR4G+4H9, Z3608, Bangladesh",3.7,01779-225777,24.6552885,90.8264798
387,ChIJt0kSAme0VzcR0HqBfh9hEfU,Phulpur Fire Service,"X955+V8P, Haluaghat - Phulpur Rd, Bangladesh",4.5,01798-593555,24.9597109,90.3583163
388,ChIJ7zzh9ySSVjcRkao9OhnBSeU,Kishoreganj Fire Service and Civil Defense,"CQPH+FGG, Ishakha Road, Kishorganj, Bangladesh",4.5,01730-002372,24.4361815,90.77881479999999
390,ChIJdTJcUCrhVjcRJG1LaxTdrxg,Fire Service Netrokona,"Muktijuddah Meher Ali Road, Netrakona 2400, Bangladesh",4.9,01789-744212,24.8820836,90.7360575
391,ChIJ_319o8QgVjcRwckPYtn8ZJI,Madhupur Fire Service,"J22G+RRQ, Joydevpur - Tangail - Jamalpur Hwy, 1996, Bangladesh",4.5,01729-931191,24.6020796,90.0271064
393,ChIJgbzTUr4PVjcRuOUlDrsPl2A,"Fire Service & Civil Defence Station, Sakhipur","854C+W34, Road, সখীপুর, Bangladesh",4.2,01790-798686,24.30726259999999,90.17020560000002
394,ChIJd-bgni7hVjcRZ3ksY7JzO68,Atpara Fire Service & Civil Defence,"RV76+6H7, Shetur Bazaar Bridge, Atpara, Bangladesh",4.5,01734-288698,24.8130459,90.8614104
417,ChIJk0Qo7Lt5VjcRN6v77LSrKqI,Fire & Safety,"5FXJ+V97, Mawna 1704, Bangladesh",N/A,01700-706857,24.1996574,90.48090979999999
420,ChIJ11PnVTg5qzARTF44zRVQwtY,"Fire Service and Civil Defence Station, Tazumuddin","CRGR+324, Bangladesh",3.7,01720-213233,22.4251422,90.8400819
422,ChIJKe5fcmQjqzARKgfdfjywOkA,"Fire Service and Civil Defence Station, Lalmohon","8PGH+669, R890, Lalmohan 8330, Bangladesh",4.2,04925-75555,22.3255384,90.72811279999999
424,ChIJuRLBJYS1VDcRwtOd2H8yMwM,Ramgati Fire Service station,"Ramgati Road, Laxmipur Zila, Ramgati Upazila, Ramgoti Thana, Lokkhipur - Char Alaxandar Rd, Chittagong 3700, Bangladesh",4.5,01749-452245,22.6730353,90.91079520000001
425,ChIJm2R_dYkXqzARecel_w5bLd4,Bangladesh Fire Service and Civil Defense,"6Q44+67G, R890, Char Fasson 1000, Bangladesh",4.1,01766-822024,22.2055625,90.7556875
427,ChIJs-2IZNatVDcRYWF0oF1DwNQ,সুবর্ণচর ফায়ার সার্ভিস,"J4W9+XFC, Z1424, Bangladesh",3.9,01308-736278,22.6474257,91.11862719999999
428,ChIJveyUM_XJVDcRKg8x0kHSQZ8,Hajirhat Fire Service,"Hazirpara, PVX8+JPX, Bangladesh",3.4,01307-807525,22.749106,90.8668526
430,ChIJT-ngcYxfqzARsxQoIUapMZM,Hatiya Fire Service Station,"74CR+375, Nolchira - Jahagmara Rd, Char Ishwar, Bangladesh",4.7,01887-510466,22.2701478,91.1407344
547,ChIJuRM-C1M1VDcR5396LqWj1Eo,Araihazar Fire Service & Civil Defence Station,"QJJW+W6W, Bangladesh",4,01732-939352,23.78237159999999,90.64558219999999
548,ChIJZ9tR5DOzVTcRMbjZiboCMtA,Sonargaon Fire Station,"JHXP+MCF, N1, Sonargaon, Bangladesh",4,01901-020846,23.649198900000002,90.5860536
549,ChIJMTPe30OzVTcR4SC7sgSuvNc,Fire service,"JHXP+MCP, Sonargaon, Bangladesh",4.1,01304-066155,23.6492167,90.5860763
