,place_id,name,address,rating,contact_number,coordinates_lat,coordinates_lng
61,ChIJZdKSh7PrVTcRy8PUbXjWf8E,Fire Service & Civil Defence Station - Savar,"R7H5+9JP, Dhaka - Aricha Hwy, Savar 1340, Bangladesh",4.5,01730-002250,23.828471,90.259092
62,ChIJcQcPR7CPVTcRQgkdjzUpPHw,"Fire Service and Civil Defense Station, Dohar","J46F+639, R820, Bangladesh",4.8,01726-845949,23.6105284,90.1227207
63,ChIJKTZZDkwwVDcR22UYYykYBfE,Fire Service & Civil Defense Station,"WPC9+JPW, Raipur Highway, Narsingdi 1600, Bangladesh",4.4,01901-020902,23.9216219,90.7193252
64,ChIJ4YSUc9j8VTcRr016HIGTvSE,Fire Service & Civil Defense,"34WQ+968, N4, Bangladesh",5,01901-020980,24.095911,90.13808979999999
65,ChIJcVWmWJW5VTcRColioQlsISc,Postogola Fire Service Station,"MCRJ+H64, M C Rd, Dhaka, Bangladesh",4.3,01730-002216,23.691375999999998,90.4305626
66,ChIJReVo8Pe2VTcRNc-niJa6X6c,Demra Fire Station,"Demra-Narayanganj Rd, Sarulia, Near Rani Mahal Cinema Hall, PF7X+J67, Dhaka 1361, Bangladesh",4.4,01730-002302,23.7140452,90.498046
67,ChIJzZ-BDvHGVTcRYgo1n4TKVbY,Kurmitola Fire Station,"RCG3+QWM, Dhaka 1206, Bangladesh",4.4,01730-002232,23.8269605,90.4048085
68,ChIJKSMH1dfBVTcR9xq3rgRE_CU,Fire Service And Civil Defence Station Mirpur,"R948+VVQ, Mirpur Rd, Dhaka 1216, Bangladesh",4.6,01628-138596,23.8072068,90.36724009999999
69,ChIJKQZJpvPBVTcR47jyENjJEv8,Pallabi Fire Service and Civil Defense,"R9R9+97Q Brindabon, Dhaka, Bangladesh",N/A,01730-002229,23.8409577,90.36823489999999
70,ChIJx1HGArPBVTcRNfS7b8ICkLg,Bangladesh Fire Service and Civil Defense Department,"38, 46 কাজি আলাউদ্দিন রোড, Dhaka 1100, Bangladesh",4.3,01726-080454,23.8427414,90.3650239
72,ChIJCf7dAJzGVTcRBsRkEMC0wig,Airport Fire Station,"V92X+VC9, Dhaka 1229, Bangladesh",4.4,02-8901077,23.8521744,90.3986048
74,ChIJg_a5hrrHVTcREqZbaMX2Wv8,"Fire Service & Civil Defence Station, Baridhara","plot 1 Madani Ave, Dhaka 1212, Bangladesh",4.5,02-8833000,23.7980196,90.42405649999999
97,ChIJG2R3_iLHVTcRp9Trpq8H_kA,NP Engineering Limited (Npe),"Nannu Plaza(3rd Floor)2495, Madani Avenue, Baridhara Dhaka-1212, Dhaka 1360, Bangladesh",5,01911-175831,23.79850919999999,90.434595
98,ChIJmRSAq_bDVTcRb0iJpzhE0a8,"Fire Service & Civil Defence Station, Uttara","V9GC+64C, Sonargaon Janapath, Dhaka 1230, Bangladesh",4.2,01901-020782,23.8755549,90.3702517
99,ChIJ_9WQXmLHVTcRr5KCIGptoiU,"Fire Service and Civil Defense, Tejgaon Fire Station","QC72+R62, Shaheed Tajuddin Ahmed Ave, Dhaka 1208, Bangladesh",4.4,01901-020758,23.7645059,90.40053089999999
100,ChIJszN86lS_VTcRoVmDGiBj_GE,Bangladesh Fire Service and Civil Defense,"Q95F+CFR, Mirpur Rd, Dhaka 1205, Bangladesh",4.4,01730-002227,23.7586236,90.3736438
101,ChIJiWEBnju5VTcRe-21RUVxDQs,GLOBALWIDE TECHNOLOGY & LOGISTICS,"59, Kazi Najrul Islam Avenue, 1st Floor, West Tejkunipara Farmgate, ঢাকা 1215, Bangladesh",N/A,01919-883441,23.7551209,90.3910542
102,ChIJjz-soUXEVTcRHNFE5fGr6B4,Tongi Fire Service And Civil Defence Station,"VCQ2+HP5, Dhaka - Mymensingh Hwy, Tongi, Bangladesh",4.4,01730-002130,23.8903367,90.4019341
103,ChIJX5pkD8LJVTcRc8471UOBSxA,"Fire Service & Civil Defence station Purbachal, Rupganj, Narayanganj","RFQP+F6C Fire service and civil defence field, Purbacahal, Bangladesh",3.9,01901-020858,23.8386981,90.4855144
